x,y,z,labels
-0.404320806,-9.85573101,-0.435146153,still
-0.404320806,-9.85573101,-0.435146153,still
-0.267851323,-9.709685326,0.247201324,still
-0.342071563,-9.740809441,-0.650624335,still
-0.83527714,-9.824606895,0.163404271,still
-0.069132574,-9.941922188,-0.114323132,still
-0.069132574,-9.941922188,-0.114323132,still
-0.416291833,-9.975440979,-0.20530279,still
-0.823306084,-9.774328232,-0.52133745,still
-0.823306084,-9.774328232,-0.52133745,still
-0.684442401,-9.759963036,-0.241215825,still
-0.349254161,-9.8054533,-0.377685308,still
0.026635494,-9.793481827,-0.016160861,still
-0.741903245,-9.666589737,-0.384867936,still
-0.504877269,-9.752780914,-0.365714312,still
-0.356436789,-9.783905029,-0.396838933,still
-0.775422096,-9.877279282,-0.114323132,still
-0.775422096,-9.877279282,-0.114323132,still
-0.588674366,-9.776722908,0.177769482,still
-0.528819323,-9.980229378,-0.564433038,still
-0.528819323,-9.980229378,-0.564433038,still
-0.741903245,-9.793481827,-0.538096845,still
-0.741903245,-9.798270226,0.292691171,still
-0.401926607,-9.798270226,0.292691171,still
-0.619798958,-9.673771858,-0.231639013,still
-0.559943914,-9.645041466,0.316633165,still
-0.473752648,-10.104728699,-0.157418758,still
-0.473752648,-10.104728699,-0.157418758,still
-0.595856965,-9.654618263,-0.023343466,still
-0.701201797,-9.719262123,0.304662168,still
-0.811335087,-9.812635422,-0.099957921,still
-0.342071563,-9.8940382,0.220865101,still
-0.342071563,-9.8940382,0.220865101,still
-0.385167211,-9.597157478,-0.064044893,still
-0.42826283,-9.867702484,0.105943426,still
-0.61501056,-9.906009674,0.137068048,still
-0.227149889,-9.84376049,0.08200141,still
-0.31573534,-9.819818497,0.180163682,still
-0.207996279,-9.724050522,0.228047714,still
-0.150535434,-9.812635422,-0.14784196,still
-0.332494766,-9.786299706,0.079607204,still
-0.337283164,-9.812635422,0.026934769,still
-0.337283164,-9.812635422,0.026934769,still
-0.239120901,-9.755174637,0.172981068,still
-0.27742812,-9.779116631,0.091578215,still
-0.251091897,-9.776722908,0.14903906,still
-0.361225188,-9.774328232,0.04129998,still
-0.121805012,-9.762357712,0.180163682,still
-0.318129539,-9.769539833,0.038905777,still
-0.196025267,-9.759963036,0.019752163,still
-0.401926607,-9.759963036,0.019752163,still
-0.203207865,-9.798270226,0.196923092,still
-0.327706367,-9.793481827,0.117914431,still
-0.162506446,-9.771934509,0.077213004,still
-0.162506446,-9.771934509,0.077213004,still
-0.162506446,-9.771934509,0.108337626,still
-0.260668725,-9.771934509,0.108337626,still
-0.255880296,-9.769539833,0.175375268,still
-0.22236149,-9.767146111,0.074818805,still
-0.203207865,-9.791088104,0.110731825,still
-0.231938288,-9.767146111,0.108337626,still
-0.337283164,-9.774328232,0.062847793,still
-0.337283164,-9.774328232,0.062847793,still
-0.320523739,-9.771934509,0.079607204,still
-0.236726686,-9.795876503,0.091578215,still
-0.284610718,-9.738415718,0.117914431,still
-0.200813666,-9.803058624,0.072424598,still
-0.200813666,-9.803058624,0.072424598,still
-0.291793346,-9.769539833,0.115520231,still
-0.320523739,-9.774328232,0.127491236,still
-0.207996279,-9.781511307,0.105943426,still
-0.207996279,-9.781511307,0.105943426,still
-0.421080232,-9.788693428,0.02932897,still
