x,y,z
1.104026318,-9.946710587,0.453102678
1.151910305,-10.07360363,-0.023343466
1.151910305,-10.07360363,-0.023343466
1.484704375,-9.848548889,-0.277128845
1.484704375,-9.848548889,-0.277128845
0.697011948,-9.786299706,0.503380895
0.697011948,-9.786299706,0.503380895
1.051353812,-9.752780914,0.026934769
1.051353812,-9.724050522,-0.056862291
1.72891295,-10.030508041,-0.104746327
0.572513461,-9.678560257,0.192134693
0.572513461,-9.678560257,0.192134693
0.857423484,-9.637859344,0.738012671
0.857423484,-9.637859344,0.738012671
0.42886138,-9.585186958,0.117914431
1.515828967,-9.743204117,0.04369418
0.665887356,-9.757569313,0.362123013
0.665887356,-9.757569313,0.362123013
1.06093061,-9.709685326,0.105943426
1.06093061,-9.709685326,0.105943426
0.998681366,-9.616311073,0.309450567
0.998681366,-9.616311073,0.309450567
1.118391514,-9.55406189,0.18734628
1.290773988,-9.520543098,-0.018555064
1.391330481,-9.446322441,0.613514185
0.634762704,-10.432733536,0.678157628
0.634762704,-10.432733536,0.678157628
0.68743515,-9.652224541,0.237624526
0.68743515,-9.652224541,0.237624526
0.823904634,-9.683348656,1.056441545
0.823904634,-9.683348656,1.056441545
-0.198419467,-9.633070946,0.761954665
-0.198419467,-9.633070946,0.761954665
-0.176871657,-9.786299706,0.991798043
-0.370801985,-9.647436142,0.503380895
-0.550367117,-9.889249802,0.74519527
-0.550367117,-9.889249802,0.74519527
-0.014065935,-9.745597839,0.833780766
0.05057751,-9.728838921,0.852934361
-0.375590384,-9.8940382,1.006163239
-0.375590384,-9.8940382,1.006163239
-0.287004918,-9.838972092,0.730830073
-0.287004918,-9.838972092,0.730830073
-0.765845239,-9.949105263,0.4818331
0.562936664,-9.949105263,0.4818331
0.562936664,-9.757569313,1.276708007
0.328304917,-10.320206642,0.496198297
0.328304917,-10.320206642,0.496198297
0.637156904,-10.001777649,1.178545833
1.115997314,-10.219650269,0.503380895
1.168669701,-9.475052834,0.070030399
1.934814215,-9.419986725,-0.473453373
2.62195015,-9.642647743,-0.74399817
1.436820269,-9.599552155,-0.16699557
1.436820269,-9.599552155,-0.16699557
1.836651921,-9.917980194,-0.787093818
1.836651921,-9.917980194,-0.787093818
1.348234773,-9.594763756,-0.289099842
1.348234773,-9.594763756,-0.289099842
1.487098575,-9.455899239,-0.643441677
1.678634644,-9.697713852,-0.77991122
1.027411819,-9.767146111,-0.128688335
1.360205889,-9.424775124,0.02932897
1.360205889,-9.424775124,0.02932897
1.666663647,-9.642647743,-0.973841548
1.666663647,-9.642647743,-0.973841548
1.118391514,-9.625887871,-0.741603971
1.118391514,-9.625887871,-0.741603971
1.135150909,-9.518148422,-0.219668001
1.135150909,-9.518148422,-0.219668001
1.645115852,-9.625887871,-0.861314058
0.919672728,-9.759963036,-0.356137514
0.919672728,-9.759963036,-0.356137514
1.482310176,-9.731232643,-0.157418758
1.482310176,-9.731232643,-0.157418758
1.374571085,-9.585186958,-0.653018534
1.374571085,-9.585186958,-0.653018534
1.147121906,-9.649829865,-0.485424399
1.230919003,-9.647436142,-0.052073888
1.230919003,-9.647436142,-0.052073888
1.254860997,-9.645041466,-0.380079508
1.254860997,-9.645041466,-0.380079508
1.271620393,-9.680954933,-0.435146153
1.479915977,-9.671378136,-0.272340447
1.479915977,-9.671378136,-0.272340447
1.180640697,-9.680954933,-0.466270775
1.683423042,-9.599552155,-0.569221437
1.376965284,-9.623494148,-0.700902522
1.556530356,-9.657012939,-0.090381116
1.556530356,-9.657012939,-0.090381116
1.324292779,-9.683348656,-0.4830302
1.324292779,-9.683348656,-0.4830302
1.434426069,-9.707290649,-0.308253467
1.549347758,-9.661801338,-0.152630359
1.549347758,-9.661801338,-0.152630359
1.254860997,-9.58039856,-0.554856241
1.159092903,-9.654618263,-0.542885244
1.465550661,-9.621099472,-0.303465068
1.479915977,-9.594763756,0.065242
1.206976891,-9.616311073,-0.542885244
1.429637671,-9.700108528,-0.128688335
1.429637671,-9.700108528,-0.128688335
1.216553688,-9.719262123,-0.224456415
1.216553688,-9.719262123,-0.224456415
1.35541749,-9.707290649,-0.308253467
1.35541749,-9.707290649,-0.308253467
1.525405765,-9.688137054,-0.308253467
1.238101602,-9.63067627,-0.346560687
1.312321782,-9.685743332,-0.329801291
1.161487103,-9.719262123,-0.145447746
1.161487103,-9.719262123,-0.145447746
1.285985589,-9.532513618,0.038905777
1.285985589,-9.532513618,0.038905777
0.962768376,-9.506177902,-0.114323132
1.092055202,-9.757569313,0.053270988
2.17423439,-9.589975357,-0.37050271
2.17423439,-9.589975357,-0.37050271
0.498293221,-9.544485092,0.477044702
0.498293221,-9.544485092,0.477044702
2.157474995,-9.853337288,-0.796670616
-1.304540634,-9.977835655,1.22642982
-1.304540634,-9.977835655,1.22642982
0.785597444,-10.703278542,-1.095945835
0.785597444,-10.703278542,-1.095945835
-2.422632933,-9.396044731,-2.008136749
-1.510442019,-12.568362236,-3.059191227
-1.510442019,-12.568362236,-3.059191227
-0.624587357,-6.829460144,-1.663371682
-1.7283144,-9.678560257,1.367687702
-0.796969891,-8.708909035,-1.036090732
1.154304504,-10.990582466,-2.67851305
1.154304504,-10.990582466,-2.67851305
-0.806546688,-9.585186958,-3.514089584
-3.744232178,-10.837353706,1.286284804
8.873210907,-2.725798607,-3.291428804
5.890035629,-22.085313797,2.555211782
-11.783961296,-17.715894699,2.447472572
6.960243702,-4.554968834,-1.739986062
6.960243702,-4.554968834,-1.739986062
6.617872715,-11.543643951,-1.70886147
6.617872715,-11.543643951,-1.70886147
0.931643724,-10.870872498,-2.671330452
-2.681206703,-11.385625839,0.251989722
-2.681206703,-11.385625839,0.251989722
-6.315604687,-12.94425106,2.41634798
0.809539437,-20.031087875,-0.530914247
-22.907423019,-26.287137985,-2.1948843
-22.907423019,-26.287137985,7.32446146
13.218687057,-11.699266434,0.512957692
13.218687057,-11.699266434,0.512957692
0.256478846,-10.626664162,-0.267552048
1.69060564,-14.325705528,6.534375191
-8.360253334,-9.147047997,2.287061214
13.628095627,-22.319946289,-5.759850502
7.915530205,-4.600458622,-3.925892353
-6.071396351,-9.127894402,4.887164116
5.092766285,-13.140576363,-1.886032343
1.963544726,-11.795034409,-7.071873188
1.963544726,-11.795034409,-7.071873188
-3.157652855,-13.875596046,-0.087986909
-3.157652855,-13.875596046,-0.087986909
-7.886200905,-13.042413712,4.87040472
-7.886200905,-13.042413712,4.87040472
-0.03321955,-20.667945862,-0.365714312
5.056853294,-4.229357243,0.474650472
5.056853294,-4.229357243,0.474650472
3.462314844,-4.334702015,-4.617816448
3.462314844,-4.334702015,-4.617816448
-15.449483871,-18.94890976,6.39551115
4.080018997,-7.179013729,2.129043818
5.444714069,-12.372036934,-2.26671052
0.65152216,-7.004237175,0.764348865
0.65152216,-7.004237175,0.764348865
-2.240673542,-11.773487091,-0.4830302
-4.785709858,-12.963404655,3.553593874
-4.656423092,-13.667300224,0.654215634
7.879617214,-10.969035149,-5.403114796
7.879617214,-10.969035149,-5.403114796
3.201346874,-3.058592558,2.571971178
3.201346874,-3.058592558,2.571971178
-7.510311604,-16.932991028,21.950639725
-7.510311604,-16.932991028,21.950639725
9.249100685,-14.459780693,6.369174957
1.511040568,-6.934805393,-3.719990969
-3.626916409,-12.496535301,8.844779968
10.76702404,-20.703859329,-8.415019989
4.862923145,-4.622006416,-6.525995255
3.371335268,-3.922899485,0.074818805
4.917989731,-26.246437073,0.881664753
2.351405382,-5.062539577,-1.177348733
2.351405382,-5.062539577,-1.177348733
1.063324809,-7.722497463,-1.625064373
1.063324809,-7.722497463,-1.625064373
-0.636558354,-10.894814491,-2.482188702
0.184652805,-9.372102737,1.451484799
0.615609109,-11.244368553,3.623025656
1.159092903,-10.466252327,7.671620846
-5.889436722,-17.263391495,-5.304952621
-5.889436722,-17.263391495,-5.304952621
-3.681982994,-14.268244743,1.978209138
-3.681982994,-14.268244743,1.978209138
3.761590242,-6.695384979,-2.891597033
3.761590242,-6.695384979,-2.891597033
6.146214962,-5.038597584,-3.109469414
5.729623795,-5.146336555,0.022146367
5.729623795,-5.146336555,0.022146367
-8.805574417,-15.075091362,2.073977232
5.957073212,-12.862848282,-1.941099048
5.957073212,-12.862848282,-1.941099048
5.578789234,-6.750451565,-10.105326653
2.114379406,-13.27704525,0.319027364
-2.144905329,-14.419079781,-1.785475969
-8.999505043,-8.306682587,3.316567898
8.937853813,-27.632678986,-2.70963788
3.649062634,-2.424129248,4.12341404
3.649062634,-2.424129248,4.12341404
4.951508522,-4.739322186,-2.276287317
4.951508522,-4.739322186,-2.276287317
-21.432594299,-21.623231888,3.577535868
-21.432594299,-21.623231888,3.577535868
8.159738541,-15.877148628,-5.398326397
8.159738541,-15.877148628,-5.398326397
3.596390247,-11.170147896,-1.474229693
3.596390247,-11.170147896,-1.474229693
-1.053149462,-11.124658585,0.247201324
-1.053149462,-11.124658585,-1.82138896
0.467168599,-7.693767071,-0.478241801
0.467168599,-7.693767071,-0.478241801
2.844610929,-16.875530243,-0.653018534
2.844610929,-16.875530243,-0.653018534
-2.427421331,-11.033679008,0.800261915
-2.427421331,-11.033679008,0.800261915
-0.095468789,-8.941145897,1.161786318
1.812709928,-8.802282333,3.967790842
-1.165676951,-6.120776653,-2.384026289
-1.165676951,-6.120776653,-2.384026289
-7.596502781,-11.826159477,10.345944405
-7.596502781,-11.826159477,10.345944405
2.887706518,-7.751227856,-0.851737261
-2.817676067,-9.668983459,-1.392826796
-2.738667488,-9.848548889,-1.677736878
-2.738667488,-9.848548889,-1.677736878
0.541388869,-10.739192009,-1.725620866
0.747290194,-11.392808914,0.788290918
-2.513612509,-13.466187477,1.743577361
-2.513612509,-13.466187477,1.743577361
-1.905485272,-16.334440231,0.450708479
-1.905485272,-16.334440231,0.450708479
4.96108532,-7.195773125,-4.747103214
3.761590242,-18.312051773,2.473809004
2.928407907,-8.088809967,-3.439869404
2.928407907,-8.088809967,-3.439869404
-1.608604312,-10.82298851,-2.443881273
-1.608604312,-10.82298851,-2.443881273
-1.479317427,-12.369643211,5.773018837
-1.479317427,-12.369643211,5.773018837
-8.202236176,-7.69616127,-3.681683779
6.56041193,-24.165874481,-1.893214941
6.56041193,-24.165874481,-1.893214941
